HOUR,NS
2639,1316.92
2640,1293.65
2641,1249.12
2642,1220.02
2643,1228.25
2644,1259.36
2645,1283.95
2646,1318.21
2647,1385.87
2648,1457.55
2649,1476.65
2650,1465.26
2651,1440.02
2652,1401.47
2653,1344.18
2654,1299.17
2655,1277.89
2656,1292.93
2657,1314.84
2658,1303.22
2659,1318.96
2660,1366.03
2661,1363.03
2662,1309.39
2663,1308.82
2664,1253.77
2665,1211.85
2666,1201.4
2667,1208.01
2668,1225.34
2669,1252.64
2670,1260.25
2671,1291.05
2672,1312.96
2673,1273.72
2674,1270.56
2675,1255.71
2676,1242.16
2677,1191.49
2678,1160.5
2679,1146.56
2680,1180.94
2681,1204.93
2682,1191.43
2683,1216.07
2684,1289.66
2685,1314
2686,1223.57
2687,1177.83
2688,1144.07
2689,1121.99
2690,1129.09
2691,1149.21
2692,1185.34
2693,1259.15
2694,1335.67
2695,1415.75
2696,1391.72
2697,1318.78
2698,1256.6
2699,1239.44
2700,1216.4
2701,1181.86
2702,1186.41
2703,1182.98
2704,1197.74
2705,1209.83
2706,1174.36
2707,1187.65
2708,1282.26
2709,1288.71
2710,1208.92
2711,1186.03
2712,1157.48
2713,1127.96
2714,1110.28
2715,1113.86
2716,1142.49
2717,1194.61
2718,1293.49
2719,1349.48
2720,1304.45
2721,1262.32
2722,1229.37
2723,1216.71
2724,1191.26
2725,1152.34
2726,1126.11
2727,1129.82
2728,1153.45
2729,1160.25
2730,1152.74
2731,1216.22
2732,1258.43
2733,1233.74
2734,1157.91
2735,1091.03
2736,1054.31
2737,1036.64
2738,1020.22
2739,1020.74
2740,1036.05
2741,1101.34
2742,1226
2743,1342.64
2744,1296.4
2745,1248.38
2746,1216.71
2747,1200.29
2748,1182.11
2749,1151.08
2750,1136.58
2751,1064.98
2752,1101.44
2753,1153.53
2754,1144.83
2755,1145.74
2756,1175.16
2757,1138.19
2758,1085.15
2759,1047.82
2760,1000.9
2761,969.09
2762,967.17
2763,958.4
2764,957.53
2765,1003.56
2766,1107.82
2767,1249.32
2768,1296.99
2769,1297.5
2770,1274.07
2771,1249.18
2772,1262.1
2773,1254.53
2774,1259.23
2775,1280.65
2776,1299.78
2777,1302.4
2778,1267.79
2779,1253.68
2780,1260.22
2781,1217.09
2782,1100.18
2783,1049.85
2784,997.35
2785,938.96
2786,898.23
2787,893.62
2788,889.03
2789,928.66
2790,1057.93
2791,1177.05
2792,1201.09
2793,1185.01
2794,1167.97
2795,1170.87
2796,1153.58
2797,1134.55
2798,1131.42
2799,1119.39
2800,1119.39
2801,1114.34
2802,1091.16
2803,1069.54
2804,1089.19
2805,1076.87
2806,1014.41
2807,977
2808,957.22
2809,923.95
2810,909.37
2811,928.21
2812,930.38
2813,940.24
2814,979.36
2815,1054
2816,1148.65
2817,1214.39
2818,1208.81
2819,1190.21
2820,1193.1
2821,1134.39
2822,1114.39
2823,1107.78
2824,1136.5
2825,1154.64
2826,1141.75
2827,1123.45
2828,1132.09
2829,1104.01
2830,1039.63
2831,983.76
2832,986.7
2833,953.02
2834,927.49
2835,926.61
2836,856.61
2837,873.93
2838,906.19
2839,978.48
2840,1050.11
2841,1126.84
2842,1173.26
2843,1184.86
2844,1186.78
2845,1157.74
2846,1123.2
2847,1115.83
2848,1159.51
2849,1186.96
2850,1174.09
2851,1192.86
2852,1263.3
2853,1232.41
2854,1142.13
2855,1058.89
2856,1000.41
2857,971.96
2858,970.32
2859,974.97
2860,999.87
2861,1073.98
2862,1170.79
2863,1243.53
2864,1278.73
2865,1271.63
2866,1234.12
2867,1275.11
2868,1278.99
2869,1253.21
2870,1227.73
2871,1239.54
2872,1252.95
2873,1259.92
2874,1235.43
